,,,EU,EU,EU,EU,EU,EU,EU,RoW,RoW,RoW,RoW,RoW,RoW,RoW,Russia,Russia,Russia,Russia,Russia,Russia,Russia
RoW,Commodity,"Sugar cane, sugar beet",0.0,0.0,0.0,0.0,87727.45048824004,0.0,0.0,7681628.365133511,8174120691.284712,927291054.1740996,0.0,1344021277.1136968,0.0,0.0,0.0,0.0,0.0,0.0,0.0178584797879846,0.0,0.0
RoW,Commodity,Plant-based fibers,75808311.99845287,123352.41120934878,14990993.389492834,5.692172682635993,1447420.9904763482,0.0,0.0,3070397480.2796993,64183786.19823085,184932074.77108243,894398193.7767708,1525227198.1388025,0.0,0.0,7881036.591343085,0.0,48958.31094369417,0.0,257252.24537014845,0.0,0.0
RoW,Commodity,Crops nec,14399081068.05673,13118478.601845339,16189501.65477362,556559092.3929379,669167752.0739801,0.0,0.0,119101140177.52406,1509135604.0986645,2366939638.237319,6346639449.958403,3449822047.385939,0.0,0.0,1385944466.725962,0.0,6045.122543222837,0.0,149393.24354715494,0.0,0.0
RoW,Commodity,Cattle,0.0,0.0,0.0,8125074.771370184,70338.28706600104,0.0,0.0,1293237150.3532374,3870014059.252301,903777598.6944885,32369115120.53551,2689632990.5520864,0.0,0.0,0.0,0.0,699897.626574192,0.0,0.0,0.0,0.0
RoW,Commodity,Pigs,0.0,0.0,0.0,1371076.8861546284,53716.91998710255,0.0,0.0,456026314.6586809,3402168801.442232,2226682903.7487054,26843606254.604496,4959035568.534633,0.0,0.0,0.0,0.0,522610.3416065633,0.0,1386779.9315900612,0.0,0.0
RoW,Commodity,Poultry,90905573.77167483,34635.80437919634,30151.081344760925,599755.3882084279,813068.5035136972,0.0,0.0,58444085353.631355,2242027840.5472455,1479185171.1416132,540386498.729796,4279819053.138309,0.0,0.0,0.0,0.0,0.27169605880138736,0.0,3.8067945440615,0.0,0.0
RoW,Commodity,Meat animals nec,466505691.1944099,93890.96756745703,55462.57595123416,2343048.230187024,44919033.05315947,0.0,0.0,3785231734.0590343,9222535452.428993,3965190439.480745,10343426024.792597,2349270395.894304,0.0,0.0,0.0,0.0,5.389439342962589,0.0,19.679805916347416,0.0,0.0
RoW,Commodity,Animal products nec,977178327.1894583,7846882.279462477,2430571.8315061866,0.0,23996935.992529597,0.0,0.0,45972445671.943016,4765475.58424124,6523942.053429236,48296469811.34486,2044874582.38249,0.0,0.0,109357812.64591031,0.0,14807.725769980614,0.0,348921.01527455664,0.0,0.0
RoW,Commodity,Raw milk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109849208297.84921,5949304070.000537,5794388801.256292,451616502.28973037,2611555623.890946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RoW,Commodity,"Wool, silk-worm cocoons",0.0,0.0,0.0,0.0,44268964.453101546,0.0,0.0,57132951.312024884,36533008.46378126,23332124.243680622,285368768.81819767,1780542131.5867956,0.0,0.0,0.0,0.0,97985.35932401163,0.0,364483.4678242803,0.0,0.0
RoW,Commodity,Manure (conventional treatment),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RoW,Commodity,Manure (biogas treatment),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RoW,Commodity,"Products of forestry, logging and related services (02)",233067557.12199333,642732.0998011223,1749371.1816608687,33410670.394767597,101772597.76430427,0.0,0.0,35117133136.20563,92986072.40077077,144936189.13206655,1349692553.3397496,8164737764.478765,0.0,0.0,23000834.713531557,0.0,0.0,0.0,892059.1964735631,0.0,0.0
RoW,Commodity,Fish and other fishing products; services incidental of fishing (05),4581945516.558936,303156.3739679987,3104602.7260711174,69388.0058344299,23185061.855700437,0.0,0.0,72699214979.07768,24398916.8876566,22977828.5498425,72895863.80836195,629884853.901147,2330285495.573449,0.0,30901467.095579393,0.0,2176.2200709572917,0.0,1573930.4556905185,0.0,0.0
RoW,Commodity,Anthracite,897499.5548081286,0.0,0.0,22927.099849772858,533345.8219630704,0.0,0.0,31878427.0206686,7.783118206780793,135554.26963272746,76591.44604295936,30873038.01320113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RoW,Commodity,Coking Coal,383.8135866034497,0.0,0.0,188234.14063336997,11891232.300536346,0.0,0.0,705097994.2973803,7821.142894010798,113875441.38605936,314168969.18979764,209968208.47791728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RoW,Commodity,Other Bituminous Coal,392205172.51765,389918.0620794627,237144.13448178628,277767.05073219514,243426008.5703528,0.0,0.0,3563432324.8524733,110385209.69936639,855728583.5691924,36872358.19907941,1494867267.3830998,0.0,0.0,4505627.113584934,0.0,1816704.0066933513,0.0,1375553.7274581534,0.0,0.0
RoW,Commodity,Sub-Bituminous Coal,1187251.4008009015,0.0,3033.7573849813,321053.83572996187,9065532.584661186,0.0,0.0,1687794.657927323,0.0,43738.60545306927,804626.8194579242,17226230.216748092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RoW,Commodity,Patent Fuel,253681.02281786007,0.0,0.0,26163.721672889507,144864.63907144274,0.0,0.0,28647016.895562924,126.65098202710989,128892.11505810861,32522.69665003017,4789618.75344015,0.0,0.0,0.0438318269689735,0.0,0.0,0.0319449725820733,0.0,0.0,0.0
RoW,Commodity,Lignite/Brown Coal,2075483.286907301,0.0,200.65693039858908,17950.994807757063,1752635.8728323048,0.0,0.0,515951817.028063,9.49315331882709,14510408.870163664,1715316.8762689228,9521116.421535818,1119393686.3930275,0.0,28313.491750455094,0.0,2112.5077574282736,0.0,13442.481247642114,0.0,0.0
RoW,Commodity,BKB/Peat Briquettes,1282042.2077964991,0.0,0.0,31678.997215573603,141136.34350789044,0.0,0.0,311131835.67008,6691.395710944793,125968.46281616777,118110.58322714665,521051.5301514733,0.0,0.0,137240.5363165904,1738.017074310325,633.2175297050759,0.0,17605.79634403856,0.0,0.0
RoW,Commodity,Peat,38160.268344937,0.0,0.0,0.11144808200804662,18957.390185582513,0.0,0.0,2690179.4321003184,12.355513903899336,1000645.0327438904,5237076.928114626,5815943.648096096,0.0,0.0,0.0,0.0,0.0,0.0,17009.034379049295,0.0,0.0
RoW,Commodity,"Crude petroleum and services related to crude oil extraction, excluding surveying",0.0,0.0,0.0,59883070.54375254,5173175.055794588,0.0,0.0,0.0,412.82791641761446,45064.92909715704,43294811066.16661,5657692708.26526,1703764730.6587284,0.0,0.0,0.0,0.0,0.0,303687.9511785962,0.0,0.0
RoW,Commodity,"Natural gas and services related to natural gas extraction, excluding surveying",0.0,0.0,0.0,1611669432.8926735,11300556339.736834,0.0,0.0,22677521715.153946,600890766.7683718,618387661.8586302,96162427262.99309,22932509374.15966,3159735042.503488,0.0,1651563863.859041,0.0,0.0,0.0,302598976.64775944,0.0,0.0
RoW,Commodity,Natural Gas Liquids,0.0,0.0,0.0,2.983931583940606,84806256.40851146,0.0,0.0,143294789.03962338,5818.415216485844,949355.583144955,28617284679.479507,223444299.59471852,0.0,0.0,0.0,1644.0087508645954,359.480889706397,0.0,613567.4725054739,0.0,0.0
RoW,Commodity,Other Hydrocarbons,0.0,0.0,0.0,0.22494025591738,0.0,0.0,0.0,0.0,0.0,0.0,13505239062.480928,308288243.02303284,0.0,0.0,0.0,0.0,0.0,0.3081358690532711,0.0,0.0,0.0
RoW,Commodity,Uranium and thorium ores (12),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7637507.700938425,1440246.8804043464,7889679896.495138,1684115679.8422327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RoW,Commodity,Iron ores,0.0,0.0,58508.51996825756,441.4280691502869,107816494.9630647,0.0,0.0,0.0,13597.471093877133,142331.08572204143,9637505732.802664,254484919.2345128,1193948490.886092,0.0,0.0,0.0,0.0,0.0,2916.5672118502093,0.0,0.0
RoW,Commodity,Copper ores and concentrates,0.0,0.0,0.0,0.0,10926121.818585899,0.0,0.0,0.0,798.0710953815521,463766.9170266177,3716718413.850108,4063911302.5375557,0.0,0.0,0.0,0.0,0.0,0.0,47864298.550839625,0.0,0.0
RoW,Commodity,Nickel ores and concentrates,0.0,0.0,0.0,0.0,21374345.61654692,0.0,0.0,0.0,104567.98018891712,176178.31458517027,35549821.68360924,329118650.58820975,197477387.23713103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RoW,Commodity,Aluminium ores and concentrates,0.0,0.0,17029.04930581802,12426784.282899251,112964604.46434255,0.0,0.0,0.0,7.267349961832922,162932.09087129898,1706689.5924526146,1016952520.3464392,0.0,0.0,0.0,0.0,0.0,0.0,266030.63059258665,0.0,0.0
RoW,Commodity,Precious metal ores and concentrates,0.0,0.0,4.511684383515498,19332.341982934704,1166522.4347118344,0.0,0.0,0.0,391712.0196449766,183754.89631709727,4012417559.9931993,802436386.265215,600831771.0380365,0.0,0.0,0.0,0.0,0.0,1758856.3347156418,0.0,0.0
RoW,Commodity,"Lead, zinc and tin ores and concentrates",0.0,0.0,11.16372031054843,1479.9592080691386,16716946.148716856,0.0,0.0,0.0,249565.95623516943,269100.54277476657,66126961.65197861,1842634136.5076792,0.0,0.0,0.0,0.0,0.0,0.0,655479047.8100696,0.0,0.0
RoW,Commodity,Other non-ferrous metal ores and concentrates,0.0,0.0,86.73725270460943,20581.177390911875,25207464.83441066,0.0,0.0,0.0,58847.06465069795,173979.6020789522,20008538.44594018,2067233969.3822906,134404993.747485,0.0,0.0,0.0,0.0,0.0,38893537.700134516,0.0,0.0
RoW,Commodity,Stone,0.0,0.0,0.0,22330692.414023533,27734876.14148831,0.0,0.0,17514037.55173848,22163.586803631424,127568.58090960927,219574527.04850426,869100752.5905355,1039177731.2664684,0.0,0.0,0.0,0.0,0.0,81660.02590814237,0.0,0.0
RoW,Commodity,Sand and clay,0.0,0.0,0.0,175445.51619131665,26741501.17420149,0.0,0.0,129405255.85494898,56068.21375772343,119797.00797936221,228768680.78552,539199686.0702866,1060029947.9302008,0.0,0.0,0.0,0.0,0.0,11349620.131145386,0.0,0.0
RoW,Commodity,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",115638099.98301426,0.0,0.0,10461555.02985466,334993532.64986223,0.0,0.0,1571409862.8778868,3522.864027651088,109859.1084585466,11302234.752469411,2096188073.0049071,421554654.8260132,0.0,339041.6310690496,0.0,0.0,0.0,76144.28906044038,0.0,0.0
RoW,Commodity,Products of meat cattle,1579404048.8228898,790138.9181074783,264157.8734115247,0.0,13358901.84136797,0.0,0.0,110953973146.99277,272159389.7408758,46522424.34248148,0.0,860524037.0260037,0.0,0.0,1416076804.6705897,0.0,0.0,0.0,19098574.04498535,0.0,0.0
RoW,Commodity,Products of meat pigs,378457489.6917393,5027904.865910749,146098.44385171754,0.0,2870116.9813073142,0.0,0.0,67390569995.36812,2657515.269624119,3744343.4392381967,0.0,1039761337.1442968,0.0,0.0,242771235.71480334,0.0,0.0,0.0,651247.4557803457,0.0,0.0
RoW,Commodity,Products of meat poultry,1300880940.1699333,29183374.051420894,132221.74179606227,0.0,6133046.850978107,0.0,0.0,97513340883.2388,2905786.592131382,6326204.0948477425,0.0,825532239.2621709,0.0,0.0,362285393.3536201,0.0,0.0,0.0,3204226.901905238,0.0,0.0
RoW,Commodity,Meat products nec,3615555743.117941,1083434.0551998094,5399862.398307539,0.0,15587913.577320473,0.0,0.0,84141723948.72794,55577007.08223444,22389662.17780983,0.0,1387217070.4400244,0.0,0.0,404881289.6162313,0.0,0.0,0.0,19171870.2167791,0.0,0.0
RoW,Commodity,products of Vegetable oils and fats,1328176851.237953,3029609.0017026244,906549.9736165437,0.0,78526251.68814813,0.0,0.0,45591412337.7242,352185106.72141,6671963294.635258,0.0,2017058216.6503603,0.0,0.0,93928008.81459692,0.0,0.0,0.0,920052.5824971179,0.0,0.0
RoW,Commodity,Dairy products,1893353360.7365675,10844049.4831518,648247.7917123031,0.0,13219025.231473718,0.0,0.0,141129187692.1418,182809262.4265141,105557218.5728411,0.0,1288992078.5447497,0.0,0.0,1369898828.333316,0.0,0.0,0.0,35849927.19913294,0.0,0.0
RoW,Commodity,Processed rice,633452159.1875181,2123166.9686418506,9865715.795343889,0.0,4056578.3647297174,0.0,0.0,117074582186.10129,924858095.9635669,134259074.83017018,0.0,1658825716.9095078,0.0,0.0,73152837.98195058,0.0,0.0,0.0,50325.91673847614,0.0,0.0
RoW,Commodity,Sugar,527530545.0865312,3709881.080826758,133989.3103856485,0.0,6943733.953950594,0.0,0.0,35844373873.49531,1023674858.2566779,1047066012.9691249,0.0,3385671501.709835,0.0,0.0,31085206.672056526,0.0,0.0,0.0,2433755.333279094,0.0,0.0
RoW,Commodity,Food products nec,27764186073.56575,397093943.282994,15819323.068474147,0.0,398321103.96960676,0.0,0.0,842009955755.992,1062964344.255086,9892075831.819021,0.0,20765063100.080784,0.0,0.0,3072246336.074656,0.0,0.0,0.0,72168095.8791363,0.0,0.0
RoW,Commodity,Beverages,5104633045.607804,42150711.91445219,1560824.4662437749,0.0,184222928.03325537,0.0,0.0,309912266808.08905,218042249.61849833,215877286.47867942,0.0,5794681873.0622835,0.0,0.0,1457556056.193177,0.0,0.0,0.0,0.0,0.0,0.0
RoW,Commodity,Fish products,3321732021.903254,35608095.95831653,30753469.059317674,0.0,63182578.83025018,0.0,0.0,514375945485.76715,747425929.827187,206342253.662398,0.0,17599859243.719566,0.0,0.0,1284415069.8336964,0.0,0.0,0.0,13601136.482026303,0.0,0.0
RoW,Commodity,Tobacco products (16),781071808.228034,156234.89025225,0.0,0.0,8040735.54929276,0.0,0.0,172087961441.3051,215.47759481106192,0.0,0.0,1459430095.555831,0.0,0.0,161007594.33081105,0.0,0.0,0.0,1533115.9618922097,0.0,0.0
RoW,Commodity,Textiles (17),22525789874.70851,107564430.52856275,54063451.07581399,555453389.7926892,251311400.1816957,0.0,0.0,258333258315.34732,1288412702.2213593,1369341980.438112,9472351125.820538,19390742249.01705,0.0,0.0,3089017778.3864207,0.0,3447290.1770101134,0.0,137212405.6291529,0.0,0.0
RoW,Commodity,Wearing apparel; furs (18),39655432247.462906,7825975.6826079395,17764645.59849233,11249123.050693892,257652419.21385238,0.0,0.0,574568943180.4437,2591566845.158475,5526142082.961129,2860937197.6955695,12666085673.463434,0.0,0.0,3610409942.4242578,0.0,2333945.9805666516,0.0,0.0,0.0,0.0
RoW,Commodity,Leather and leather products (19),16563680716.888424,20559298.778785676,35600125.76656088,12332163.5730922,569213545.9994516,0.0,0.0,107408838836.28455,736453742.1168773,770969767.8906809,21044289.239053518,7389315088.348577,0.0,0.0,2147172346.3919134,0.0,1403513.8988866275,0.0,2773675.607278019,0.0,0.0
RoW,Commodity,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),1421122484.557451,0.0,0.0,476811000.4943548,347981629.5742765,0.0,0.0,35467280339.47119,447528.22944081837,10261360.37698467,12158502271.359276,5964565098.298564,0.0,0.0,13827937.926447824,0.0,0.0,102071724.86605917,17612235.324244857,0.0,0.0
RoW,Commodity,"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RoW,Commodity,Pulp,0.0,0.0,260303.7715180536,2.0871406691224927,66971412.3614794,0.0,0.0,0.0,47380573.10249983,152281739.05219316,2538847.2566499105,877655013.1186335,0.0,0.0,0.0,0.0,0.0,0.0,11853961.282152863,0.0,0.0
RoW,Commodity,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RoW,Commodity,Paper and paper products,1402049635.2751656,0.0,26923767.909767766,1137.968093481969,826954515.1150146,0.0,0.0,127148326236.9508,1692525296.4373136,1574288798.9349349,9039.784032879006,7623750185.427695,0.0,0.0,459878387.9897991,0.0,0.0,0.0,88531340.23614481,0.0,0.0
RoW,Commodity,Printed matter and recorded media (22),1442088441.4732757,4623961.987003193,24135666.207239214,160410679.86591512,16864354.724022835,0.0,0.0,211293258780.23184,3576878274.6051598,4285413109.429816,10715701954.64281,4428762441.909761,0.0,0.0,190296493.47533664,0.0,0.0,1578555.5278303106,2035132.6735358553,0.0,0.0
RoW,Commodity,Coke Oven Coke,1347949.291775874,505.5965916162635,845.5010701872009,0.0,34855418.77521404,0.0,0.0,644794792.4403766,470.02032486093594,1128004.4941537105,0.0,783712047.6852857,0.0,0.0,0.0,0.0,0.0,0.0,26528.434552660176,0.0,0.0
RoW,Commodity,Gas Coke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5491.031400413215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RoW,Commodity,Coal Tar,0.0,0.0,0.0,0.0,5054929.6238128925,0.0,0.0,36737213.56391758,0.0,0.0,0.0,38407561.63913699,0.0,0.0,0.0,0.0,0.0,0.0,152.24280497518055,0.0,0.0
RoW,Commodity,Motor Gasoline,12186428067.692635,184481.10984930935,1807959.567562932,0.0,106718460.4224087,0.0,0.0,457083525402.02844,751037495.0462497,935411431.8193289,0.0,11660990644.901093,0.0,0.0,195065013.25690663,0.0,1227074.6134066877,0.0,6464540.212597667,0.0,0.0
RoW,Commodity,Aviation Gasoline,196945.97445024343,0.0,27.216674844409717,0.0,19650.114354576985,0.0,0.0,35274597.97762466,8.036359168782537,83078.95059679628,0.0,3943276.090294367,0.0,0.0,0.005341699509206306,0.0,0.0,0.0,0.0,0.0,0.0
RoW,Commodity,Gasoline Type Jet Fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4883304.26271549,1.4455417652479727,1215104.8377114413,0.0,45610.3405119349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RoW,Commodity,Kerosene Type Jet Fuel,66827659.750223085,0.0,144650.75152587565,0.0,10078519.203416461,0.0,0.0,4046195202.785354,690900066.9643006,594261649.5962778,0.0,1482232915.3071039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RoW,Commodity,Kerosene,464165667.017395,0.0,0.0,0.0,9348581.977387888,0.0,0.0,50611109835.39293,0.0,1190943.449993643,0.0,951165629.2402014,0.0,0.0,0.3678910633395507,0.0,0.0,0.0,0.0,0.0,0.0
RoW,Commodity,Gas/Diesel Oil,4560137410.047454,695539.1086097786,3061279.369370516,0.0,215202167.8407113,0.0,0.0,112716371079.88527,1565338651.4579525,1487054865.8922071,0.0,13022244508.68939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RoW,Commodity,Heavy Fuel Oil,260554108.19907984,0.0,20038.363003928738,0.0,123805440.64999284,0.0,0.0,5551916565.163754,0.0,1363693.7502395865,0.0,3422683288.847251,0.0,0.0,3732599.015654375,0.0,0.0,0.0,7679219.393639793,0.0,0.0
RoW,Commodity,Refinery Gas,0.0,0.0,0.0,0.0,1608.7052717091606,0.0,0.0,31909341.321519457,0.0,0.0,0.0,21973999.82595657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RoW,Commodity,Liquefied Petroleum Gases (LPG),1302051007.699859,1833546.8956371557,1320326.5209740167,0.0,75523937.12064296,0.0,0.0,35041493214.08749,641670820.5301442,653902518.3735988,0.0,3284003526.48833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RoW,Commodity,Refinery Feedstocks,0.0,0.0,0.0,0.0,12263.296790064516,0.0,0.0,3601268.295018114,0.0,0.0,0.0,171632302.26202482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RoW,Commodity,Ethane,0.0,0.0,0.0,0.0,2319271.576002746,0.0,0.0,5304571.264850046,0.0,0.0,0.0,372985558.67381793,0.0,0.0,0.0,0.0,0.0,0.0,0.040846301964499496,0.0,0.0
RoW,Commodity,Naphtha,0.0,0.0,0.0,0.0,40167186.49635066,0.0,0.0,2106250099.6133325,0.0,0.0,0.0,1568332074.2658393,0.0,0.0,0.0,0.0,0.0,0.0,16888041.60357533,0.0,0.0
RoW,Commodity,White Spirit & SBP,0.0,0.0,0.0,0.0,67621630.34128098,0.0,0.0,12067624.878181245,0.0,0.0,0.0,41216434.32947573,0.0,0.0,0.0,0.0,0.0,0.0,35352.22824033458,0.0,0.0
RoW,Commodity,Lubricants,0.0,0.0,0.0,0.0,39470.13674747624,0.0,0.0,1032690255.5654418,0.0,0.0,0.0,176234890.7365806,0.0,0.0,0.0,0.0,0.0,0.0,49039.91112335057,0.0,0.0
RoW,Commodity,Bitumen,0.0,0.0,0.0,0.0,3974878.9979738817,0.0,0.0,19678354.562285513,0.0,0.0,0.0,221936939.84593913,0.0,0.0,0.0,0.0,0.0,0.0,62569.16833672768,0.0,0.0
RoW,Commodity,Paraffin Waxes,0.05781894298588025,0.0,0.0,0.0,5530920.225039934,0.0,0.0,42980275.872694135,0.0,0.0,0.0,151194679.9303131,0.0,0.0,0.0,0.0,0.0,0.0,405156.5518877276,0.0,0.0
RoW,Commodity,Petroleum Coke,1756533.5896213558,0.0,0.0,0.0,3120820.152930636,0.0,0.0,633158982.1323994,0.0,0.0,0.0,204358585.7354452,0.0,0.0,0.0,0.0,0.0,0.0,93413151.48845391,0.0,0.0
RoW,Commodity,Non-specified Petroleum Products,0.024690329866408997,0.0,0.0,0.0,3565375.450533501,0.0,0.0,32128712.584597107,0.0,135314.92256278454,0.0,344107878.6704799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RoW,Commodity,Nuclear fuel,0.0,0.0,79034.33079047811,0.0441497095666622,1058232227.4019012,0.0,0.0,0.0,1004754.0053416942,383187333.5442126,1173863531.9131925,681758889.7534679,0.0,0.0,0.0,0.0,1185365.952003948,0.0,996496313.6464319,0.0,0.0
RoW,Commodity,"Plastics, basic",0.0,29883.029807315274,7720687397.664427,48498.36742429348,17487078.639217127,0.0,0.0,17621076.56810104,327607258.33559555,3493083157.815089,210112950.44449356,5998621485.403355,0.0,0.0,0.0,0.0,269659391.76795435,0.0,228817932.09448218,0.0,0.0
RoW,Commodity,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RoW,Commodity,N-fertiliser,1529124.7483661503,323.62547102410156,737576.7715379968,2075.257040354565,140974.15374233268,0.0,0.0,348168647.095531,2.332716867459243,2721526.027315239,2932071.346638597,55751271.134264246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RoW,Commodity,P- and other fertiliser,311048488.99149144,1763844.0142641233,48999157.924133025,0.0,20481126.545227323,0.0,0.0,3369935621.6801715,745.1806514690717,46113027.48698754,17935468.460433632,4130300286.9813223,0.0,0.0,18614.88120717115,0.0,470.65271261541784,0.0,80873.96234711607,0.0,0.0
RoW,Commodity,Chemicals nec,23097383955.206337,13054512.534482082,19243100862.32898,4607899.537580455,1218874246.027415,0.0,0.0,598394432769.1097,4187656936.7046356,14337538760.944038,3420160900.1270494,22708175928.092056,0.0,0.0,5305214994.111177,0.0,31377166.034330793,0.0,125123086.75018643,0.0,0.0
RoW,Commodity,Charcoal,81551218.74909176,0.0,312281.39474628936,50853.81384556279,301430.68795229995,0.0,0.0,1178666384.6553102,0.0,871974.2897651361,150500.9812273868,16040805.336542608,0.0,0.0,0.5760428588665052,0.0,0.0,0.0,0.0,0.0,0.0
RoW,Commodity,Additives/Blending Components,2.0971453309786,0.0,0.0,0.0,19577051.78155014,0.0,0.0,8575249313.639553,43903.455200195975,78801177.62237525,7421082.040197987,148772725.69486293,0.0,0.0,0.22397442443191046,0.0,0.0,0.0,0.0,0.0,0.0
RoW,Commodity,Biogasoline,110166965.94067353,731.1222864930509,2221342.7704515066,6798122.494011315,725581.3771912628,0.0,0.0,1902449426.5445173,339088.0369134314,2730852.142240352,1890093.3969995114,1298680711.3327935,0.0,0.0,2038186.6403221088,0.0,1283.081334563647,0.0,12004.636987206692,0.0,0.0
RoW,Commodity,Biodiesels,72031604.26177229,5.4195625638344325,4346886.3584415475,433405.3144007643,2069740.6930713097,0.0,0.0,206748473.57099813,3781.1601326103278,2801959.6589148506,14147433.512617908,132057458.18329862,0.0,0.0,412970.39806766505,0.0,1947.9559059754602,0.0,9752.814639730906,0.0,0.0
RoW,Commodity,Other Liquid Biofuels,732083.5586241246,578.6358222363601,1006366.0648068512,0.0,55168.0789687383,0.0,0.0,28144312.271075044,1.630523150618817,1575234.1303372243,1498915.5760289514,7514193.621352625,0.0,0.0,16132.862129043437,0.0,25.61822887678928,0.0,15.770991071165785,0.0,0.0
RoW,Commodity,Rubber and plastic products (25),11538422806.314838,0.0,0.0,681860586.6448691,319047930.53731465,0.0,0.0,168694952748.1135,240374899.0636579,417644597.86099464,15714261899.343513,20653444372.698025,0.0,0.0,1787190551.8284373,0.0,581441.5141973435,0.0,49739224.50895135,0.0,0.0
RoW,Commodity,Glass and glass products,0.0,0.0,0.0,47972743.587196186,78190297.35491765,0.0,0.0,15409224967.473036,542396.7644842992,1252320.7634021568,1094955241.1113753,4584692079.172757,0.0,0.0,0.0,0.0,0.0,0.0,28213161.418531805,0.0,0.0
RoW,Commodity,"Secondary glass for treatment, Re-processing of secondary glass into new glass",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RoW,Commodity,Ceramic goods,2746463908.364864,0.0,0.0,61586347.62533605,64394135.977794796,0.0,0.0,22934367408.43813,0.0,0.0,176446592.3475054,3242827251.2746286,0.0,0.0,384933699.88139665,0.0,0.0,0.0,17868334.066092666,0.0,0.0
RoW,Commodity,"Bricks, tiles and construction products, in baked clay",256946.5545742075,0.0,0.0,723202.1397958677,1028921.4125269599,0.0,0.0,22795775.307891816,0.0,0.0,201074161.93984115,374793732.06007206,0.0,0.0,70034.84580287196,0.0,0.0,0.0,99544.00379352475,0.0,0.0
RoW,Commodity,"Cement, lime and plaster",3123681.5404387973,0.0,0.0,5241904.180455061,25816865.53281073,0.0,0.0,549340077.6947026,0.0,0.0,143098898.30252975,2520080351.4784584,0.0,0.0,2197668.4535827194,0.0,0.0,0.0,15240457.553994037,0.0,0.0
RoW,Commodity,"Ash for treatment, Re-processing of ash into clinker",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RoW,Commodity,Other non-metallic mineral products,2620558701.090624,0.0,0.0,42065168.71899935,35786346.973333776,0.0,0.0,22788738258.69656,1344220.0385813513,2000137.902814663,849008985.5064887,2781228006.566315,0.0,0.0,357909836.36449045,0.0,0.0,0.0,13787473.383055435,0.0,0.0
RoW,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,22616.28413486848,0.0,0.0,31244274.81369716,338242951.1830922,0.0,0.0,1372714312.5050075,0.0,0.0,6863751810.351044,27354450694.798744,0.0,0.0,2157257.42715031,0.0,0.0,0.0,175782.2184815662,0.0,0.0
RoW,Commodity,"Secondary steel for treatment, Re-processing of secondary steel into new steel",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
