,Level,,production
Russia,Commodity,Heavy Fuel Oil,21447345201.362858
Russia,Commodity,Refinery Gas,26121405.62362408
Russia,Commodity,Liquefied Petroleum Gases (LPG),5191995798.509602
Russia,Commodity,Refinery Feedstocks,3488192.4006390995
Russia,Commodity,Ethane,1129706.1196309272
Russia,Commodity,Naphtha,1445015714.6943045
Russia,Commodity,White Spirit & SBP,1679409.484355905
Russia,Commodity,Lubricants,192030164.07060504
Russia,Commodity,Bitumen,236204393.59394962
Russia,Commodity,Paraffin Waxes,28386289.592419144
Russia,Commodity,Petroleum Coke,30449869.097847633
Russia,Commodity,Non-specified Petroleum Products,12062202.858130263
Russia,Commodity,Nuclear fuel,2081218984.8425355
Russia,Commodity,"Plastics, basic",3285430927.0486565
Russia,Commodity,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0.0
Russia,Commodity,N-fertiliser,287905641.91774523
Russia,Commodity,P- and other fertiliser,8450804934.71599
Russia,Commodity,Chemicals nec,38226316993.617256
Russia,Commodity,Charcoal,3477.845521848847
Russia,Commodity,Additives/Blending Components,447.9254356917752
Russia,Commodity,Biogasoline,977082.3979926818
Russia,Commodity,Biodiesels,1497354.0198713117
Russia,Commodity,Other Liquid Biofuels,1505114.5539035448
Russia,Commodity,Rubber and plastic products (25),5855287544.707223
Russia,Commodity,Glass and glass products,4027212437.0857
Russia,Commodity,"Secondary glass for treatment, Re-processing of secondary glass into new glass",0.0
Russia,Commodity,Ceramic goods,2734087245.643179
Russia,Commodity,"Bricks, tiles and construction products, in baked clay",377642820.89437896
Russia,Commodity,"Cement, lime and plaster",12050612399.92107
Russia,Commodity,"Ash for treatment, Re-processing of ash into clinker",0.0
Russia,Commodity,Other non-metallic mineral products,3922439346.224743
Russia,Commodity,Basic iron and steel and of ferro-alloys and first products thereof,74978565218.95688
Russia,Commodity,"Secondary steel for treatment, Re-processing of secondary steel into new steel",0.0
Russia,Commodity,Precious metals,7086170098.59402
Russia,Commodity,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",0.0
Russia,Commodity,Aluminium and aluminium products,17279476929.83096
Russia,Commodity,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0.0
Russia,Commodity,"Lead, zinc and tin and products thereof",879076066.0729766
Russia,Commodity,"Secondary lead for treatment, Re-processing of secondary lead into new lead",0.0
Russia,Commodity,Copper products,10764791111.587337
Russia,Commodity,"Secondary copper for treatment, Re-processing of secondary copper into new copper",0.0
Russia,Commodity,Other non-ferrous metal products,13553446478.81332
Russia,Commodity,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",0.0
Russia,Commodity,Foundry work services,3960180846.3225484
Russia,Commodity,"Fabricated metal products, except machinery and equipment (28)",98084734197.90872
Russia,Commodity,Machinery and equipment n.e.c. (29),48024695390.6864
Russia,Commodity,Office machinery and computers (30),443103158.99902165
Russia,Commodity,Electrical machinery and apparatus n.e.c. (31),4978891349.04805
Russia,Commodity,"Radio, television and communication equipment and apparatus (32)",1815641075.3689268
Russia,Commodity,"Medical, precision and optical instruments, watches and clocks (33)",2956026541.1975145
Russia,Commodity,"Motor vehicles, trailers and semi-trailers (34)",7245696971.598777
Russia,Commodity,Other transport equipment (35),7810477648.169165
Russia,Commodity,Furniture; other manufactured goods n.e.c. (36),4719277289.250465
Russia,Commodity,Secondary raw materials,415860446.1569979
Russia,Commodity,"Bottles for treatment, Recycling of bottles by direct reuse",0.0
Russia,Commodity,Electricity by coal,8072845271.415952
Russia,Commodity,Electricity by gas,20974184392.091896
Russia,Commodity,Electricity by nuclear,7191066019.859847
Russia,Commodity,Electricity by hydro,7576092078.558939
Russia,Commodity,Electricity by wind,515651.5696944122
Russia,Commodity,Electricity by petroleum and other oil derivatives,988273347.9855331
Russia,Commodity,Electricity by biomass and waste,143128063.9409745
Russia,Commodity,Electricity by solar photovoltaic,137.2967108325556
Russia,Commodity,Electricity by solar thermal,2.0614249727279224
Russia,Commodity,"Electricity by tide, wave, ocean",0.0
Russia,Commodity,Electricity by Geothermal,16250824.146546967
Russia,Commodity,Electricity nec,240607179.76600242
Russia,Commodity,Transmission services of electricity,7269433156.162991
Russia,Commodity,Distribution and trade services of electricity,23002827988.367733
Russia,Commodity,Coke oven gas,11197283.256749982
Russia,Commodity,Blast Furnace Gas,15433756.14527269
Russia,Commodity,Oxygen Steel Furnace Gas,261852.0491650482
Russia,Commodity,Gas Works Gas,1.1079822530028676
Russia,Commodity,Biogas,33.07620864475888
Russia,Commodity,Distribution services of gaseous fuels through mains,28993898913.19167
Russia,Commodity,Steam and hot water supply services,4106632617.2725134
Russia,Commodity,"Collected and purified water, distribution services of water (41)",1284787584.134996
Russia,Commodity,Construction work (45),211201839487.65088
Russia,Commodity,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",0.0
Russia,Commodity,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",18363818505.036175
Russia,Commodity,Retail trade services of motor fuel,1312757592.966972
Russia,Commodity,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",80000506293.51056
Russia,Commodity,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",100239942254.30383
Russia,Commodity,Hotel and restaurant services (55),57425721106.5018
Russia,Commodity,Railway transportation services,16177185466.726711
Russia,Commodity,Other land transportation services,47307454077.50625
Russia,Commodity,Transportation services via pipelines,2520472195.0908527
Russia,Commodity,Sea and coastal water transportation services,14138655914.942102
Russia,Commodity,Inland water transportation services,1379641284.6095252
Russia,Commodity,Air transport services (62),18656714124.661686
Russia,Commodity,Supporting and auxiliary transport services; travel agency services (63),67975848196.25952
Russia,Commodity,Post and telecommunication services (64),60029020840.11078
Russia,Commodity,"Financial intermediation services, except insurance and pension funding services (65)",104294796257.53206
Russia,Commodity,"Insurance and pension funding services, except compulsory social security services (66)",42865638091.45358
Russia,Commodity,Services auxiliary to financial intermediation (67),40852517636.69987
Russia,Commodity,Real estate services (70),24413086809.41748
Russia,Commodity,Renting services of machinery and equipment without operator and of personal and household goods (71),3163797225.5235286
Russia,Commodity,Computer and related services (72),2859673444.5932236
Russia,Commodity,Research and development services (73),129846064821.14754
Russia,Commodity,Other business services (74),17311658504.547653
Russia,Commodity,Public administration and defence services; compulsory social security services (75),81895361149.38564
Russia,Commodity,Education services (80),72922216914.72299
Russia,Commodity,Health and social work services (85),121932469813.99205
Russia,Commodity,Food waste for treatment: incineration,146082037.38382378
Russia,Commodity,Paper waste for treatment: incineration,166453582.35759836
Russia,Commodity,Plastic waste for treatment: incineration,63426319.75078574
Russia,Commodity,Intert/metal waste for treatment: incineration,34665453.33294915
Russia,Commodity,Textiles waste for treatment: incineration,40592103.04589429
Russia,Commodity,Wood waste for treatment: incineration,44609221.55156029
Russia,Commodity,Oil/hazardous waste for treatment: incineration,46223868.60044503
Russia,Commodity,Food waste for treatment: biogasification and land application,1263081.4708868049
Russia,Commodity,Paper waste for treatment: biogasification and land application,1380288.0885353014
Russia,Commodity,Sewage sludge for treatment: biogasification and land application,7141508.375212166
Russia,Commodity,Food waste for treatment: composting and land application,8912361.163583634
Russia,Commodity,Paper and wood waste for treatment: composting and land application,10474.377176562735
Russia,Commodity,Food waste for treatment: waste water treatment,1099831199.3115854
Russia,Commodity,Other waste for treatment: waste water treatment,1550056034.8284185
Russia,Commodity,Food waste for treatment: landfill,54559879482.2147
Russia,Commodity,Paper for treatment: landfill,22899051701.147236
Russia,Commodity,Plastic waste for treatment: landfill,18639124844.787365
Russia,Commodity,Inert/metal/hazardous waste for treatment: landfill,18644179056.314873
Russia,Commodity,Textiles waste for treatment: landfill,8011969093.691026
Russia,Commodity,Wood waste for treatment: landfill,9648021597.276453
Russia,Commodity,Membership organisation services n.e.c. (91),5182031419.816314
Russia,Commodity,"Recreational, cultural and sporting services (92)",47087255243.44605
Russia,Commodity,Other services (93),882379842.9617544
Russia,Commodity,Private households with employed persons (95),540180949.5074291
Russia,Commodity,Extra-territorial organizations and bodies,0.0
EU,Activity,Cultivation of paddy rice,1812632016.8490126
EU,Activity,Cultivation of wheat,32326234210.358795
EU,Activity,Cultivation of cereal grains nec,36812720070.14657
EU,Activity,"Cultivation of vegetables, fruit, nuts",125073129757.28389
EU,Activity,Cultivation of oil seeds,25565642314.25641
EU,Activity,"Cultivation of sugar cane, sugar beet",4796482123.269831
EU,Activity,Cultivation of plant-based fibers,1009155544.5403628
EU,Activity,Cultivation of crops nec,35401506939.35804
EU,Activity,Cattle farming,29137806736.241673
EU,Activity,Pigs farming,37486780769.24279
EU,Activity,Poultry farming,35535285618.50022
EU,Activity,Meat animals nec,11881674143.382908
EU,Activity,Animal products nec,1197509034.701035
EU,Activity,Raw milk,73194171939.48283
EU,Activity,"Wool, silk-worm cocoons",127534698.68171242
EU,Activity,"Manure treatment (conventional), storage and land application",20491.32839255145
EU,Activity,"Manure treatment (biogas), storage and land application",20491.32839255145
EU,Activity,"Forestry, logging and related service activities (02)",49448696180.47322
EU,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",17571895043.70157
EU,Activity,Mining of coal and lignite; extraction of peat (10),27640870092.292873
EU,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",16192690120.360104
EU,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",14029073855.00132
EU,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",330324778.4599988
EU,Activity,Mining of uranium and thorium ores (12),636054942.0604922
EU,Activity,Mining of iron ores,505918968.6014607
EU,Activity,Mining of copper ores and concentrates,9041898630.161058
EU,Activity,Mining of nickel ores and concentrates,81414412.76543444
EU,Activity,Mining of aluminium ores and concentrates,195075889.98495156
EU,Activity,Mining of precious metal ores and concentrates,627866134.8867351
EU,Activity,"Mining of lead, zinc and tin ores and concentrates",1379143022.182483
EU,Activity,Mining of other non-ferrous metal ores and concentrates,1661558594.399228
EU,Activity,Quarrying of stone,18895513330.691525
EU,Activity,Quarrying of sand and clay,25778729146.521526
EU,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",6818297601.17637
EU,Activity,Processing of meat cattle,46413535932.10819
EU,Activity,Processing of meat pigs,55520950714.63389
EU,Activity,Processing of meat poultry,42566154712.14232
EU,Activity,Production of meat products nec,102878385714.46658
EU,Activity,Processing vegetable oils and fats,40788445843.82075
EU,Activity,Processing of dairy products,158614760965.3805
EU,Activity,Processed rice,3578064916.412172
EU,Activity,Sugar refining,21319810164.042313
EU,Activity,Processing of Food products nec,426220490760.4086
EU,Activity,Manufacture of beverages,162495754896.12198
EU,Activity,Manufacture of fish products,35080416171.83209
EU,Activity,Manufacture of tobacco products (16),23426618385.931675
EU,Activity,Manufacture of textiles (17),139619021281.76324
EU,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),116476804041.99673
EU,Activity,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",63902643272.15197
EU,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",131141186210.194
EU,Activity,Re-processing of secondary wood material into new wood material,43210035431.145294
EU,Activity,Pulp,21426567905.60351
EU,Activity,Re-processing of secondary paper into new pulp,38745998461.376366
EU,Activity,Paper,131443493240.42192
EU,Activity,"Publishing, printing and reproduction of recorded media (22)",274538690092.00656
EU,Activity,Manufacture of coke oven products,5065451922.33869
EU,Activity,Petroleum Refinery,347526402879.72516
EU,Activity,Processing of nuclear fuel,4137785690.3353224
EU,Activity,"Plastics, basic",271940282134.14084
EU,Activity,Re-processing of secondary plastic into new plastic,87581407826.02068
EU,Activity,N-fertiliser,1097008631.8771102
EU,Activity,P- and other fertiliser,8435247271.937547
EU,Activity,Chemicals nec,198984290571.9241
EU,Activity,Manufacture of rubber and plastic products (25),329192377103.7955
EU,Activity,Manufacture of glass and glass products,31118594593.052227
EU,Activity,Re-processing of secondary glass into new glass,11636040338.460438
EU,Activity,Manufacture of ceramic goods,31995874756.249054
EU,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",15759165318.973316
EU,Activity,"Manufacture of cement, lime and plaster",116160624631.38945
EU,Activity,Re-processing of ash into clinker,26866025852.863552
EU,Activity,Manufacture of other non-metallic mineral products n.e.c.,45491195778.82806
EU,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,134304136692.93909
EU,Activity,Re-processing of secondary steel into new steel,84767134655.84143
EU,Activity,Precious metals production,17859969992.033
EU,Activity,Re-processing of secondary preciuos metals into new preciuos metals,204802.66818308184
EU,Activity,Aluminium production,36650287676.51577
EU,Activity,Re-processing of secondary aluminium into new aluminium,33737117785.265972
EU,Activity,"Lead, zinc and tin production",10986011211.726196
EU,Activity,"Re-processing of secondary lead into new lead, zinc and tin",3033685266.4036756
EU,Activity,Copper production,59112274536.602036
EU,Activity,Re-processing of secondary copper into new copper,10650564341.580973
EU,Activity,Other non-ferrous metal production,10862757716.978687
EU,Activity,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,6304076.734432111
EU,Activity,Casting of metals,48453280018.04578
EU,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",597585953742.9574
EU,Activity,Manufacture of machinery and equipment n.e.c. (29),814009905797.7513
EU,Activity,Manufacture of office machinery and computers (30),101143837282.7444
EU,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),381835149374.4888
EU,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",224035077783.3891
EU,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",208188943267.1094
EU,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",868173012467.2936
EU,Activity,Manufacture of other transport equipment (35),236188436652.44977
EU,Activity,Manufacture of furniture; manufacturing n.e.c. (36),238979252283.07803
EU,Activity,Recycling of waste and scrap,32670567823.76005
EU,Activity,Recycling of bottles by direct reuse,10473454451.607752
EU,Activity,Production of electricity by coal,78002912445.22462
EU,Activity,Production of electricity by gas,74844010028.05956
EU,Activity,Production of electricity by nuclear,67895968167.25176
EU,Activity,Production of electricity by hydro,27194779455.17966
EU,Activity,Production of electricity by wind,11301344850.516115
EU,Activity,Production of electricity by petroleum and other oil derivatives,12068945903.933413
EU,Activity,Production of electricity by biomass and waste,9668265904.315386
EU,Activity,Production of electricity by solar photovoltaic,674018115.2977247
EU,Activity,Production of electricity by solar thermal,1067509.058823328
EU,Activity,"Production of electricity by tide, wave, ocean",101365971.87745506
EU,Activity,Production of electricity by Geothermal,818276396.2207626
EU,Activity,Production of electricity nec,3552558968.2267327
EU,Activity,Transmission of electricity,48811596158.3872
EU,Activity,Distribution and trade of electricity,217069703166.00928
EU,Activity,Manufacture of gas; distribution of gaseous fuels through mains,177406352345.22565
EU,Activity,Steam and hot water supply,24479739858.838436
EU,Activity,"Collection, purification and distribution of water (41)",83493723430.61351
EU,Activity,Construction (45),1952851024236.9812
EU,Activity,Re-processing of secondary construction material into aggregates,2224380070.525472
EU,Activity,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",342316377988.31226
EU,Activity,Retail sale of automotive fuel,40682191120.16005
EU,Activity,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",954205941581.0186
EU,Activity,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",408660761623.1481
EU,Activity,Hotels and restaurants (55),910131663859.3014
EU,Activity,Transport via railways,199218830822.64014
EU,Activity,Other land transport,671619080917.8746
EU,Activity,Transport via pipelines,22839538470.054188
EU,Activity,Sea and coastal water transport,125028827551.55176
EU,Activity,Inland water transport,10938924641.23059
EU,Activity,Air transport (62),211161777428.77695
EU,Activity,Supporting and auxiliary transport activities; activities of travel agencies (63),780816742407.2161
EU,Activity,Post and telecommunications (64),754488296314.1252
EU,Activity,"Financial intermediation, except insurance and pension funding (65)",750757830002.2932
EU,Activity,"Insurance and pension funding, except compulsory social security (66)",328231757834.1592
EU,Activity,Activities auxiliary to financial intermediation (67),240603730407.36102
EU,Activity,Real estate activities (70),1743201401144.015
EU,Activity,Renting of machinery and equipment without operator and of personal and household goods (71),259944398186.19086
EU,Activity,Computer and related activities (72),436032842759.6239
EU,Activity,Research and development (73),163928141470.55997
EU,Activity,Other business activities (74),1827541184539.3093
EU,Activity,Public administration and defence; compulsory social security (75),1167581660736.6914
EU,Activity,Education (80),820617416059.0466
EU,Activity,Health and social work (85),1318707645077.6016
EU,Activity,Incineration of waste: Food,13046253747.22535
EU,Activity,Incineration of waste: Paper,15878747683.288414
EU,Activity,Incineration of waste: Plastic,13295555097.244576
EU,Activity,Incineration of waste: Metals and Inert materials,23830945001.129482
EU,Activity,Incineration of waste: Textiles,3011258138.434296
EU,Activity,Incineration of waste: Wood,7133118902.858147
EU,Activity,Incineration of waste: Oil/Hazardous waste,16596051080.016748
EU,Activity,"Biogasification of food waste, incl. land application",3275964532.5703073
EU,Activity,"Biogasification of paper, incl. land application",429943903.8484619
EU,Activity,"Biogasification of sewage slugde, incl. land application",13831650089.06951
EU,Activity,"Composting of food waste, incl. land application",17590539363.689064
EU,Activity,"Composting of paper and wood, incl. land application",91540683.3348557
EU,Activity,"Waste water treatment, food",7368327686.106639
EU,Activity,"Waste water treatment, other",12846503621.629368
EU,Activity,Landfill of waste: Food,12585899620.474556
EU,Activity,Landfill of waste: Paper,8672553773.49276
EU,Activity,Landfill of waste: Plastic,1727339687.9580917
EU,Activity,Landfill of waste: Inert/metal/hazardous,15532409988.245953
EU,Activity,Landfill of waste: Textiles,1635201071.4440968
EU,Activity,Landfill of waste: Wood,2980756800.6983542
EU,Activity,Activities of membership organisation n.e.c. (91),229916649998.38626
EU,Activity,"Recreational, cultural and sporting activities (92)",475008329002.74854
EU,Activity,Other service activities (93),180465708462.5979
EU,Activity,Private households with employed persons (95),66896167323.70773
EU,Activity,Extra-territorial organizations and bodies,0.0
RoW,Activity,Cultivation of paddy rice,307317738367.2553
RoW,Activity,Cultivation of wheat,204025539219.67932
RoW,Activity,Cultivation of cereal grains nec,334921874114.26587
RoW,Activity,"Cultivation of vegetables, fruit, nuts",1021903716035.032
RoW,Activity,Cultivation of oil seeds,185816603417.6685
RoW,Activity,"Cultivation of sugar cane, sugar beet",91667679662.4895
RoW,Activity,Cultivation of plant-based fibers,116240467226.51863
RoW,Activity,Cultivation of crops nec,473902534758.98047
RoW,Activity,Cattle farming,250053891248.31824
RoW,Activity,Pigs farming,282784561605.81287
RoW,Activity,Poultry farming,282611431022.6329
RoW,Activity,Meat animals nec,71098901622.28836
RoW,Activity,Animal products nec,138852844716.98978
RoW,Activity,Raw milk,329290488001.6528
RoW,Activity,"Wool, silk-worm cocoons",12830381329.867575
RoW,Activity,"Manure treatment (conventional), storage and land application",0.0
RoW,Activity,"Manure treatment (biogas), storage and land application",0.0
RoW,Activity,"Forestry, logging and related service activities (02)",302389397738.33673
RoW,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",524537304692.3873
RoW,Activity,Mining of coal and lignite; extraction of peat (10),438784145204.8721
RoW,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",1295748272089.889
RoW,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",415029539869.64496
RoW,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",31175259065.229507
RoW,Activity,Mining of uranium and thorium ores (12),18171286201.64554
RoW,Activity,Mining of iron ores,130346901877.91934
RoW,Activity,Mining of copper ores and concentrates,123042730435.99771
RoW,Activity,Mining of nickel ores and concentrates,21966152387.06777
RoW,Activity,Mining of aluminium ores and concentrates,11230245523.655298
RoW,Activity,Mining of precious metal ores and concentrates,106238444356.51192
RoW,Activity,"Mining of lead, zinc and tin ores and concentrates",32423313625.38649
RoW,Activity,Mining of other non-ferrous metal ores and concentrates,86576572522.57368
RoW,Activity,Quarrying of stone,104615619446.47887
RoW,Activity,Quarrying of sand and clay,155481412889.30334
RoW,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",52922690656.874855
RoW,Activity,Processing of meat cattle,162875459513.87057
RoW,Activity,Processing of meat pigs,130451538571.97783
RoW,Activity,Processing of meat poultry,148129132962.6367
RoW,Activity,Production of meat products nec,201051048227.9645
RoW,Activity,Processing vegetable oils and fats,234237999235.53543
RoW,Activity,Processing of dairy products,282415246945.17206
RoW,Activity,Processed rice,170915125698.20187
RoW,Activity,Sugar refining,100083905909.88663
RoW,Activity,Processing of Food products nec,2007576888098.1484
RoW,Activity,Manufacture of beverages,462929415149.4617
RoW,Activity,Manufacture of fish products,706762542342.4398
RoW,Activity,Manufacture of tobacco products (16),194693285980.00946
RoW,Activity,Manufacture of textiles (17),1534836498097.2449
RoW,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),835877793559.8064
RoW,Activity,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",350306305536.053
RoW,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",365834067253.6846
RoW,Activity,Re-processing of secondary wood material into new wood material,18358990368.67383
RoW,Activity,Pulp,54513081957.44983
RoW,Activity,Re-processing of secondary paper into new pulp,11170147259.835415
RoW,Activity,Paper,823263561554.6488
RoW,Activity,"Publishing, printing and reproduction of recorded media (22)",926818796726.2856
RoW,Activity,Manufacture of coke oven products,120966185353.65741
RoW,Activity,Petroleum Refinery,2314700824315.6216
RoW,Activity,Processing of nuclear fuel,8062946418.4621525
RoW,Activity,"Plastics, basic",400495703440.10547
RoW,Activity,Re-processing of secondary plastic into new plastic,7622070046.200187
RoW,Activity,N-fertiliser,6089839258.423035
RoW,Activity,P- and other fertiliser,162934342770.43777
RoW,Activity,Chemicals nec,3566804670381.6426
RoW,Activity,Manufacture of rubber and plastic products (25),1785575887929.6494
RoW,Activity,Manufacture of glass and glass products,489524268686.4053
RoW,Activity,Re-processing of secondary glass into new glass,2246480930.032336
RoW,Activity,Manufacture of ceramic goods,435889100541.0742
RoW,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",33650476311.471733
RoW,Activity,"Manufacture of cement, lime and plaster",323348600465.22516
RoW,Activity,Re-processing of ash into clinker,4457314926.934265
RoW,Activity,Manufacture of other non-metallic mineral products n.e.c.,424730353013.0634
RoW,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,2306179880046.6978
RoW,Activity,Re-processing of secondary steel into new steel,64325835485.73457
RoW,Activity,Precious metals production,173436966823.52686
RoW,Activity,Re-processing of secondary preciuos metals into new preciuos metals,0.0334526075415291
RoW,Activity,Aluminium production,426874898617.2648
RoW,Activity,Re-processing of secondary aluminium into new aluminium,8287513846.236749
RoW,Activity,"Lead, zinc and tin production",98894117815.31879
RoW,Activity,"Re-processing of secondary lead into new lead, zinc and tin",1820608433.7987654
RoW,Activity,Copper production,324900669260.55756
RoW,Activity,Re-processing of secondary copper into new copper,2110258927.9355583
RoW,Activity,Other non-ferrous metal production,167435164186.256
RoW,Activity,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,1389490333.8985271
RoW,Activity,Casting of metals,251082113957.84103
RoW,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",1876370684164.4006
RoW,Activity,Manufacture of machinery and equipment n.e.c. (29),3453472707848.6777
RoW,Activity,Manufacture of office machinery and computers (30),1030855388524.1294
RoW,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),2029456427984.5432
RoW,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",2129166705813.4954
RoW,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",838199165563.4678
RoW,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",3115163829858.855
RoW,Activity,Manufacture of other transport equipment (35),1233956053922.8674
RoW,Activity,Manufacture of furniture; manufacturing n.e.c. (36),1361283088044.0227
RoW,Activity,Recycling of waste and scrap,125308464632.13496
RoW,Activity,Recycling of bottles by direct reuse,2196495.7084625685
RoW,Activity,Production of electricity by coal,495845398777.15393
RoW,Activity,Production of electricity by gas,233566547261.272
RoW,Activity,Production of electricity by nuclear,116523812137.11273
RoW,Activity,Production of electricity by hydro,147880545754.63614
RoW,Activity,Production of electricity by wind,6287404805.586854
RoW,Activity,Production of electricity by petroleum and other oil derivatives,75871677948.39668
RoW,Activity,Production of electricity by biomass and waste,11347109665.04477
RoW,Activity,Production of electricity by solar photovoltaic,702223666.9198858
RoW,Activity,Production of electricity by solar thermal,31799548.544688057
RoW,Activity,"Production of electricity by tide, wave, ocean",39072268.97470768
RoW,Activity,Production of electricity by Geothermal,3756874358.7787843
RoW,Activity,Production of electricity nec,5765068055.071245
RoW,Activity,Transmission of electricity,158275136940.52585
RoW,Activity,Distribution and trade of electricity,542906634786.6859
RoW,Activity,Manufacture of gas; distribution of gaseous fuels through mains,300639046345.0115
RoW,Activity,Steam and hot water supply,19270765903.393944
RoW,Activity,"Collection, purification and distribution of water (41)",208636720477.75116
RoW,Activity,Construction (45),9618608416355.414
RoW,Activity,Re-processing of secondary construction material into aggregates,481504733.7112415
RoW,Activity,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",1865404648574.7798
RoW,Activity,Retail sale of automotive fuel,49935510429.64582
RoW,Activity,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",3416740381241.338
RoW,Activity,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",1906456621033.5708
RoW,Activity,Hotels and restaurants (55),4653067572337.078
RoW,Activity,Transport via railways,547506810552.50226
RoW,Activity,Other land transport,2382722433927.4175
RoW,Activity,Transport via pipelines,78511924637.18552
RoW,Activity,Sea and coastal water transport,455958592909.63635
RoW,Activity,Inland water transport,33639177857.304966
RoW,Activity,Air transport (62),762534866907.1125
RoW,Activity,Supporting and auxiliary transport activities; activities of travel agencies (63),1849446819267.935
RoW,Activity,Post and telecommunications (64),3183268490607.14
RoW,Activity,"Financial intermediation, except insurance and pension funding (65)",3096070784179.9688
RoW,Activity,"Insurance and pension funding, except compulsory social security (66)",1859937158770.9587
RoW,Activity,Activities auxiliary to financial intermediation (67),1483648466517.0347
RoW,Activity,Real estate activities (70),6855971103313.719
RoW,Activity,Renting of machinery and equipment without operator and of personal and household goods (71),1047924429813.159
RoW,Activity,Computer and related activities (72),2407389037510.197
RoW,Activity,Research and development (73),728922257548.4457
RoW,Activity,Other business activities (74),6514137506473.5
RoW,Activity,Public administration and defence; compulsory social security (75),8458155604775.251
RoW,Activity,Education (80),3015698320465.7725
RoW,Activity,Health and social work (85),5670254100584.778
RoW,Activity,Incineration of waste: Food,32378781351.5027
RoW,Activity,Incineration of waste: Paper,34803315552.066666
RoW,Activity,Incineration of waste: Plastic,18353376022.751076
RoW,Activity,Incineration of waste: Metals and Inert materials,12080972271.675468
RoW,Activity,Incineration of waste: Textiles,8646065518.31451
RoW,Activity,Incineration of waste: Wood,10370313114.019817
RoW,Activity,Incineration of waste: Oil/Hazardous waste,9982621952.164906
RoW,Activity,"Biogasification of food waste, incl. land application",4220672528.967572
RoW,Activity,"Biogasification of paper, incl. land application",803609337.12975
RoW,Activity,"Biogasification of sewage slugde, incl. land application",36241988241.53285
RoW,Activity,"Composting of food waste, incl. land application",17119217116.558968
RoW,Activity,"Composting of paper and wood, incl. land application",11857699856.695538
RoW,Activity,"Waste water treatment, food",133083215089.96101
RoW,Activity,"Waste water treatment, other",198529333545.62134
RoW,Activity,Landfill of waste: Food,74741220172.92577
RoW,Activity,Landfill of waste: Paper,43679058061.134056
RoW,Activity,Landfill of waste: Plastic,30847459268.228184
RoW,Activity,Landfill of waste: Inert/metal/hazardous,43094387254.89046
